custom_class,ebird_code,global_label,status
Chalcites lucidus_Shining Bronze-Cuckoo,shbcuc1,Chrysococcyx lucidus_Shining Bronze-Cuckoo,renamed_since_global
Chalcites osculans_Black-eared Cuckoo,blecuc1,Chrysococcyx osculans_Black-eared Cuckoo,renamed_since_global
Chalcophaps longirostris_Pacific Emerald Dove,emedov3,Chalcophaps longirostris_Pacific Emerald Dove,same_label
Chenonetta jubata_Australian Wood Duck,manduc1,Chenonetta jubata_Maned Duck,renamed_since_global
Cheramoeca leucosterna_White-backed Swallow,whbswa3,,not_in_global_model
Chlidonias hybrida_Whiskered Tern,whiter2,Chlidonias hybrida_Whiskered Tern,same_label
Chroicocephalus novaehollandiae_Silver Gull,silgul2,Chroicocephalus novaehollandiae_Silver Gull,same_label
Cincloramphus cruralis_Brown Songlark,broson1,Cincloramphus cruralis_Brown Songlark,same_label
Cincloramphus mathewsi_Rufous Songlark,rufson1,Cincloramphus mathewsi_Rufous Songlark,same_label
Cincloramphus timoriensis_Tawny Grassbird,tawgra3,Cincloramphus timoriensis_Tawny Grassbird,same_label
Cinclosoma cinnamomeum_Cinnamon Quail-thrush,ciqthr1,,not_in_global_model
Cinclosoma punctatum_Spotted Quail-thrush,spqthr1,Cinclosoma punctatum_Spotted Quail-thrush,same_label
Circus approximans_Swamp Harrier,swahar1,Circus approximans_Swamp Harrier,same_label
Cisticola exilis_Golden-headed Cisticola,gohcis1,Cisticola exilis_Golden-headed Cisticola,same_label
Climacteris erythrops_Red-browed Treecreeper,rebtre1,,not_in_global_model
Climacteris picumnus_Brown Treecreeper,brotre2,Climacteris picumnus_Brown Treecreeper,same_label
Colluricincla harmonica_Grey Shrikethrush,grysht1,Colluricincla harmonica_Gray Shrikethrush,renamed_since_global
Colluricincla megarhyncha_Little Shrikethrush,litshr31,,not_in_global_model
Columba leucomela_White-headed Pigeon,whhpig1,,not_in_global_model
Columba livia_Rock Dove,rocpig,Columba livia_Rock Pigeon,renamed_since_global
Coracina maxima_Ground Cuckooshrike,grocus1,,not_in_global_model
Coracina novaehollandiae_Black-faced Cuckooshrike,bkfcus1,Coracina novaehollandiae_Black-faced Cuckooshrike,same_label
Coracina papuensis_White-bellied Cuckooshrike,whbcus1,Coracina papuensis_White-bellied Cuckooshrike,same_label
Corcorax melanorhamphos_White-winged Chough,whwcho1,Corcorax melanorhamphos_White-winged Chough,same_label
Cormobates leucophaea_White-throated Treecreeper,whttre3,Cormobates leucophaea_White-throated Treecreeper,same_label
Corvus bennetti_Little Crow,litcro1,,not_in_global_model
Corvus coronoides_Australian Raven,ausrav1,Corvus coronoides_Australian Raven,same_label
Corvus mellori_Little Raven,litrav1,Corvus mellori_Little Raven,same_label
Corvus orru_Torresian Crow,torcro2,Corvus orru_Torresian Crow,same_label
