label,old_sciname,old_comname,new_sciname,new_comname,old_code,new_code,reason
"Peneothello cyanus_Blue-gray Robin","Peneothello cyanus","Blue-gray Robin","Melanodryas cyanus","Blue-gray Robin","bugrob1","bugrob1","name changed upstream"
"Peneothello sigillata_White-winged Robin","Peneothello sigillata","White-winged Robin","Melanodryas sigillata","White-winged Robin","whwrob2","whwrob2","name changed upstream"
"Phaeomyias murina_Mouse-colored Tyrannulet","Phaeomyias murina","Mouse-colored Tyrannulet","Nesotriccus sp.","Nesotriccus sp.","moctyr1","moctyr1","name changed upstream"
"Philydor erythrocercum_Rufous-rumped Foliage-gleaner","Philydor erythrocercum","Rufous-rumped Foliage-gleaner","Neophilydor erythrocercum","Rufous-rumped Foliage-gleaner","rurfog1","rurfog1","name changed upstream"
"Philydor fuscipenne_Slaty-winged Foliage-gleaner","Philydor fuscipenne","Slaty-winged Foliage-gleaner","Neophilydor fuscipenne","Slaty-winged Foliage-gleaner","swfgle","swfgle","name changed upstream"
"Phyllomyias burmeisteri_Rough-legged Tyrannulet","Phyllomyias burmeisteri","Rough-legged Tyrannulet","Acrochordopus zeledoni","White-fronted Tyrannulet","roltyr1","roltyr1","name changed upstream"
"Phyllomyias cinereiceps_Ashy-headed Tyrannulet","Phyllomyias cinereiceps","Ashy-headed Tyrannulet","Tyranniscus cinereiceps","Ashy-headed Tyrannulet","ashtyr1","ashtyr1","name changed upstream"
"Phyllomyias nigrocapillus_Black-capped Tyrannulet","Phyllomyias nigrocapillus","Black-capped Tyrannulet","Tyranniscus nigrocapillus","Black-capped Tyrannulet","blctyr1","blctyr1","name changed upstream"
"Phyllomyias uropygialis_Tawny-rumped Tyrannulet","Phyllomyias uropygialis","Tawny-rumped Tyrannulet","Tyranniscus uropygialis","Tawny-rumped Tyrannulet","tartyr1","tartyr1","name changed upstream"
"Phylloscartes difficilis_Serra do Mar Tyrannulet","Phylloscartes difficilis","Serra do Mar Tyrannulet","Pogonotriccus difficilis","Serra do Mar Bristle-Tyrant","sdmtyr2","sdmtyr2","name changed upstream"
"Phylloscartes eximius_Southern Bristle-Tyrant","Phylloscartes eximius","Southern Bristle-Tyrant","Pogonotriccus eximius","Southern Bristle-Tyrant","sobtyr2","sobtyr2","name changed upstream"
"Phylloscartes lanyoni_Antioquia Bristle-Tyrant","Phylloscartes lanyoni","Antioquia Bristle-Tyrant","Pogonotriccus lanyoni","Antioquia Bristle-Tyrant","anbtyr1","anbtyr1","name changed upstream"
"Phylloscartes ophthalmicus_Marble-faced Bristle-Tyrant","Phylloscartes ophthalmicus","Marble-faced Bristle-Tyrant","Pogonotriccus ophthalmicus","Marble-faced Bristle-Tyrant","mfbtyr1","mfbtyr1","name changed upstream"
"Phylloscartes paulista_Sao Paulo Tyrannulet","Phylloscartes paulista","Sao Paulo Tyrannulet","Pogonotriccus paulista","Sao Paulo Bristle-Tyrant","saptyr1","saptyr1","name changed upstream"
"Phylloscartes poecilotis_Variegated Bristle-Tyrant","Phylloscartes poecilotis","Variegated Bristle-Tyrant","Pogonotriccus poecilotis","Variegated Bristle-Tyrant","vabtyr1","vabtyr1","name changed upstream"
"Phylloscopus occisinensis_Alpine Leaf Warbler","Phylloscopus occisinensis","Alpine Leaf Warbler","Phylloscopus affinis occisinensis","Tickell's Leaf Warbler (Alpine)","alplew1","alplew1","name changed upstream"
"Phylloscopus sarasinorum_Sulawesi Leaf Warbler","Phylloscopus sarasinorum","Sulawesi Leaf Warbler","Phylloscopus nesophilus","Sulawesi Leaf Warbler","sulwar1","sulwar1","name changed upstream"
"Piaya cayana_Squirrel Cuckoo","Piaya cayana","Squirrel Cuckoo","Piaya cayana","Common Squirrel-Cuckoo","squcuc1","squcuc1","name changed upstream"
"Pitangus lictor_Lesser Kiskadee","Pitangus lictor","Lesser Kiskadee","Philohydor lictor","Lesser Kiskadee","leskis1","leskis1","name changed upstream"
"Pitta sordida_Hooded Pitta","Pitta sordida","Hooded Pitta","Pitta sordida","Western Hooded Pitta","hoopit2","wehpit1","code changed"
"Platylophus galericulatus_Crested Shrikejay","Platylophus galericulatus","Crested Shrikejay","Platylophus galericulatus","Crested Jayshrike","crejay1","crejay1","name changed upstream"
"Platysmurus leucopterus_Black Magpie","Platysmurus leucopterus","Black Magpie","Platysmurus leucopterus","Malayan Black Magpie","blamag1","blkmag1","code changed"
"Platysteira castanea_Chestnut Wattle-eye","Platysteira castanea","Chestnut Wattle-eye","Dyaphorophyia castanea","Chestnut Wattle-eye","chweye1","chweye1","name changed upstream"
"Ploceus bicolor_Forest Weaver","Ploceus bicolor","Forest Weaver","Ploceus bicolor","Dark-backed Weaver","forwea1","forwea1","name changed upstream"
"Ploceus nigerrimus_Vieillot's Weaver","Ploceus nigerrimus","Vieillot's Weaver","Ploceus castaneofuscus/nigerrimus","Chestnut-and-black/Vieillot's Black Weaver","viewea1","viewea1","name changed upstream"
"Pogoniulus pusillus_Red-fronted Tinkerbird","Pogoniulus pusillus","Red-fronted Tinkerbird","Pogoniulus uropygialis","Northern Red-fronted Tinkerbird","reftin1","reftin1","name changed upstream"
"Pomatorhinus ferruginosus_Coral-billed Scimitar-Babbler","Pomatorhinus ferruginosus","Coral-billed Scimitar-Babbler","Pomatorhinus ferruginosus/phayrei","Black-crowned/Brown-crowned Scimitar-Babbler","cbsbab2","cbsbab2","name changed upstream"
"Pomatorhinus montanus_Chestnut-backed Scimitar-Babbler","Pomatorhinus montanus","Chestnut-backed Scimitar-Babbler","Pomatorhinus montanus","Javan Scimitar-Babbler","cbsbab1","chbscb1","code changed"
"Porzana spiloptera_Dot-winged Crake","Porzana spiloptera","Dot-winged Crake","Laterallus spiloptera","Dot-winged Crake","dowcra1","dowcra1","name changed upstream"
"Prionops plumatus_White Helmetshrike","Prionops plumatus","White Helmetshrike","Prionops plumatus","White-crested Helmetshrike","whihel1","whihel1","name changed upstream"
"Psephotus varius_Mulga Parrot","Psephotus varius","Mulga Parrot","Psephotellus varius","Mulga Parrot","mulpar1","mulpar1","name changed upstream"
"Pseudeos cardinalis_Cardinal Lory","Pseudeos cardinalis","Cardinal Lory","Chalcopsitta cardinalis","Cardinal Lory","carlor1","carlor1","name changed upstream"
"Pseudonigrita arnaudi_Gray-headed Social-Weaver","Pseudonigrita arnaudi","Gray-headed Social-Weaver","Pseudonigrita arnaudi","Gray-capped Social-Weaver","gyhsow1","gyhsow1","name changed upstream"
"Psilopogon australis_Little Barbet","Psilopogon australis","Little Barbet","Psilopogon australis","Yellow-eared Barbet","litbar1","litbar1","name changed upstream"
"Psilopogon duvaucelii_Blue-eared Barbet","Psilopogon duvaucelii","Blue-eared Barbet","Psilopogon cyanotis/duvaucelii","Blue-eared/Black-eared Barbet","blebar1","blebar1","name changed upstream"
